id,categoryId,name,description,price,img,alt,vegetarian,active,category
1,1,breakfast taco,"A soft 6in tortilla, your choice of filling (egg and sausage or chorizo), and shredded cheese | add fresh cut potatoes or bacon for $0.50 or both for $0.99",3.50,,,false,true,Breakfast
2,1,breakfast burrito,"A soft 10in tortilla, your choice of filling (egg and sausage or chorizo), and shredded cheese | add fresh cut potatoes or bacon for $0.50 or both for $0.99",5.50,,,false,true,Breakfast
3,1,breakfast bowl,"A bowl of your choice of filling (egg and sausage or chorizo), and shredded cheese | add fresh cut potatoes or bacon for $0.50 or both for $0.99",5.50,,,false,true,Breakfast
4,1,side of bacon,A cup of fresh cooked bacon,2.00,,,false,true,Breakfast
5,1,side of potato,A cup of fresh cut potatoes,2.00,,,true,true,Breakfast
6,2,taco,"A crispy shell, ground beef, lettuce, and shredded cheese",2.39,,,false,true,Tacos
7,2,supreme taco,"A crispy shell, ground beef, lettuce, tomatoes, sour cream, and shredded cheese",2.99,,,false,true,Tacos
8,2,soft taco,"A soft tortilla, ground beef, lettuce, and shredded cheese",2.79,,,false,true,Tacos
9,2,soft taco supreme,"A soft tortilla, ground beef, lettuce, tomatoes, sour cream, and shredded cheese",2.99,,,false,true,Tacos
10,2,fajita soft taco,"Marinated fajitas (chicken or steak), sauteed bell peppers and onions, and shredded cheese",3.99,,,false,true,Tacos
11,2,taco delite,"A crispy shell wrapped in a flour tortilla with beans, ground beef, lettuce, and shredded cheese",3.29,,,false,true,Tacos
12,2,taco delite supreme,"A crispy shell wrapped in a flour tortilla with beans, ground beef, lettuce, tomatoes, sour cream, and shredded cheese",3.99,,,false,true,Tacos
13,2,taco delite w/ queso,"A crispy shell wrapped in a flour tortilla with beans and queso, ground beef, lettuce, and shredded cheese",3.99,,,false,true,Tacos
14,2,taco delite w/ guac,"A crispy shell wrapped in a flour tortilla with beans and guac made from scratch, ground beef, lettuce, and shredded cheese",3.99,,,false,true,Tacos
15,3,bean burrito,"A 10in flour tortilla, homemade beans, our special burrito sauce, and shredded cheese",3.09,,,true,true,Burritos
16,3,meat burrito,"A 10in flour tortilla, ground beef, our special burrito sauce, and shredded cheese",5.99,,,false,true,Burritos
17,3,combo burrito,"A 10in flour tortilla, homemade beans, ground beef, our special burrito sauce, and shredded cheese",6.75,,,false,true,Burritos
18,3,super burrito,"A 10in flour tortilla, homemade beans, ground beef, our special burrito sauce, lettuce, tomatoes, sour cream, and shredded cheese",7.99,,,false,true,Burritos
19,3,fajita burrito,"A 10in flour tortilla, Marinated fajitas (chicken or steak), sauteed bell peppers and onions, and shredded cheese",7.99,,,false,true,Burritos
20,3,melt burrito,"A 10in flour tortilla, homemade beans, ground beef, our special burrito sauce, smothered in queso, and topped with lettuce, tomatoes, sour cream",9.99,,,false,true,Burritos
