id,name,food_items
1,Breakfast,"[{""id"":1,""name"":""breakfast taco"",""price"":""3.50"",""active"":true,""categoryId"":1,""vegetarian"":false,""description"":""A soft 6in tortilla, your choice of filling (egg and sausage or chorizo), and shredded cheese add fresh cut potatoes or bacon for $0.50 or both for $0.99""},{""id"":2,""name"":""breakfast burrito"",""price"":""5.50"",""active"":true,""categoryId"":1,""vegetarian"":false,""description"":""A soft 10in tortilla, your choice of filling (egg and sausage or chorizo), and shredded cheese | add fresh cut potatoes or bacon for $0.50 or both for $0.99""},{""id"":3,""name"":""breakfast bowl"",""price"":""5.50"",""active"":true,""categoryId"":1,""vegetarian"":false,""description"":""A bowl of your choice of filling (egg and sausage or chorizo), and shredded cheese | add fresh cut potatoes or bacon for $0.50 or both for $0.99""},{""id"":82,""name"":""breakfast quesadilla"",""price"":""6.00"",""active"":true,""categoryId"":1,""vegetarian"":false,""description"":""A soft 10in tortilla, your choice of filling (egg and sausage or chorizo), and shredded cheese all pressed in the flat iron | add fresh cut potatoes or bacon for $0.50 or both for $0.99""},{""id"":4,""alt"":null,""img"":null,""name"":""side of bacon"",""price"":""2.00"",""active"":true,""category"":""Breakfast"",""categoryId"":1,""vegetarian"":false,""description"":""A cup of fresh cooked bacon""},{""id"":5,""alt"":null,""img"":null,""name"":""side of potato"",""price"":""2.00"",""active"":true,""category"":""Breakfast"",""categoryId"":1,""vegetarian"":true,""description"":""A cup of fresh cut potatoes""}]"
2,Tacos,"[{""id"":6,""name"":""taco"",""price"":""2.39"",""active"":true,""categoryId"":2,""vegetarian"":false,""description"":""A crispy shell, ground beef, lettuce, and shredded cheese""},{""id"":7,""name"":""supreme taco"",""price"":""2.99"",""active"":true,""categoryId"":2,""vegetarian"":false,""description"":""A crispy shell, ground beef, lettuce, tomatoes, sour cream, and shredded cheese""},{""id"":8,""name"":""soft taco"",""price"":""2.79"",""active"":true,""categoryId"":2,""vegetarian"":false,""description"":""A soft tortilla, ground beef, lettuce, and shredded cheese""},{""id"":9,""name"":""soft taco supreme"",""price"":""2.99"",""active"":true,""categoryId"":2,""vegetarian"":false,""description"":""A soft tortilla, ground beef, lettuce, tomatoes, sour cream, and shredded cheese""},{""id"":10,""alt"":null,""img"":null,""name"":""fajita soft taco"",""price"":""3.99"",""active"":true,""category"":""Tacos"",""categoryId"":2,""vegetarian"":false,""description"":""Marinated fajitas (chicken or steak), sauteed bell peppers and onions, and shredded cheese""},{""id"":11,""alt"":null,""img"":null,""name"":""taco delite"",""price"":""3.29"",""active"":true,""category"":""Tacos"",""categoryId"":2,""vegetarian"":false,""description"":""A crispy shell wrapped in a flour tortilla with beans, ground beef, lettuce, and shredded cheese""},{""id"":12,""alt"":null,""img"":null,""name"":""taco delite supreme"",""price"":""3.99"",""active"":true,""category"":""Tacos"",""categoryId"":2,""vegetarian"":false,""description"":""A crispy shell wrapped in a flour tortilla with beans, ground beef, lettuce, tomatoes, sour cream, and shredded cheese""},{""id"":13,""alt"":null,""img"":null,""name"":""taco delite w/ queso"",""price"":""3.99"",""active"":true,""category"":""Tacos"",""categoryId"":2,""vegetarian"":false,""description"":""A crispy shell wrapped in a flour tortilla with beans and queso, ground beef, lettuce, and shredded cheese""},{""id"":14,""alt"":null,""img"":null,""name"":""taco delite w/ guac"",""price"":""3.99"",""active"":true,""category"":""Tacos"",""categoryId"":2,""vegetarian"":false,""description"":""A crispy shell wrapped in a flour tortilla with beans and guac made from scratch, ground beef, lettuce, and shredded cheese""}]"
3,Burritos,"[{""id"":15,""name"":""bean burrito"",""price"":""3.09"",""active"":true,""categoryId"":3,""vegetarian"":true,""description"":""A 10in flour tortilla, homemade beans, our special burrito sauce, and shredded cheese""},{""id"":16,""name"":""meat burrito"",""price"":""5.99"",""active"":true,""categoryId"":3,""vegetarian"":false,""description"":""A 10in flour tortilla, ground beef, our special burrito sauce, and shredded cheese""},{""id"":17,""name"":""combo burrito"",""price"":""6.75"",""active"":true,""categoryId"":3,""vegetarian"":false,""description"":""A 10in flour tortilla, homemade beans, ground beef, our special burrito sauce, and shredded cheese""},{""id"":18,""name"":""super burrito"",""price"":""7.99"",""active"":true,""categoryId"":3,""vegetarian"":false,""description"":""A 10in flour tortilla, homemade beans, ground beef, our special burrito sauce, lettuce, tomatoes, sour cream, and shredded cheese""},{""id"":19,""name"":""fajita burrito"",""price"":""7.99"",""active"":true,""categoryId"":3,""vegetarian"":false,""description"":""A 10in flour tortilla, Marinated fajitas (chicken or steak), sauteed bell peppers and onions, and shredded cheese""},{""id"":20,""name"":""melt burrito"",""price"":""9.99"",""active"":true,""categoryId"":3,""vegetarian"":false,""description"":""A 10in flour tortilla, homemade beans, ground beef, our special burrito sauce, smothered in queso, and topped with lettuce, tomatoes, sour cream""}]"
4,Nachos,"[{""id"":21,""name"":""cheese nachos"",""price"":""7.50"",""active"":true,""categoryId"":4,""vegetarian"":true,""description"":""Chips, our special queso, and jalapenos""},{""id"":22,""name"":""bean nachos"",""price"":""8.00"",""active"":true,""categoryId"":4,""vegetarian"":true,""description"":""Chips, our special queso, homemade beans, and jalapenos""},{""id"":23,""name"":""meat nachos"",""price"":""8.99"",""active"":true,""categoryId"":4,""vegetarian"":false,""description"":""Chips, our special queso, ground beef, and jalapenos""},{""id"":24,""name"":""combo nachos"",""price"":""9.50"",""active"":true,""categoryId"":4,""vegetarian"":false,""description"":""Chips, our special queso, homemade beans, ground beef, and jalapenos""},{""id"":25,""name"":""super nachos"",""price"":""10.99"",""active"":true,""categoryId"":4,""vegetarian"":false,""description"":""Chips, our special queso, homemade beans, ground beef, lettuce, tomatoes, sour cream, and jalapenos""},{""id"":26,""name"":""deluxe fajita nachos"",""price"":""13.99"",""active"":true,""categoryId"":4,""vegetarian"":false,""description"":""Chips, our special queso, homemade beans, marinated fajitas (steak or chicken), sauteed bell peppers and onions, lettuce, tomatoes, sour cream, our guacamole made from scratch, and jalapenos""}]"
5,Salads,"[{""id"":27,""name"":""super salad"",""price"":""10.99"",""active"":true,""categoryId"":5,""vegetarian"":false,""description"":""Lettuce, homemade beans, ground beef, our special sauce, shredded cheese, sour cream, tomatoes, and guac made from scratch all on a bed of chips""},{""id"":28,""name"":""salad supreme"",""price"":""10.99"",""active"":true,""categoryId"":5,""vegetarian"":false,""description"":""Lettuce, homemade beans, ground beef, our special sauce, shredded cheese, sour cream, tomatoes, and guac made from scratch all in a edible salad bowl""},{""id"":29,""name"":""fajita salad"",""price"":""13.99"",""active"":true,""categoryId"":5,""vegetarian"":false,""description"":""Lettuce, homemade beans, marinated fajitas (steak or chicken), sauteed bell peppers and onions, our special sauce, shredded cheese, sour cream, tomatoes, and guac made from scratch all in a edible salad bowl""}]"
6,Quesadillas,"[{""id"":30,""name"":""single cheese quesadilla"",""price"":""7.50"",""active"":true,""categoryId"":6,""vegetarian"":true,""description"":""A 10in flour tortilla and shredded cheese pressed in the flat iron to perfection""},{""id"":31,""name"":""cheese quesadilla"",""price"":""8.90"",""active"":true,""categoryId"":6,""vegetarian"":true,""description"":""A 10in flour tortilla and shredded cheese pressed in the flat iron to perfection and served with guac made from scratch, sour cream, and pico de gallo on the side""},{""id"":32,""name"":""bean quesadilla"",""price"":""9.95"",""active"":true,""categoryId"":6,""vegetarian"":true,""description"":""A 10in flour tortilla, shredded cheese, and homemade beans all pressed in the flat iron to perfection and served with guac made from scratch, sour cream, and pico de gallo on the side""},{""id"":33,""name"":""meat quesadilla"",""price"":""10.95"",""active"":true,""categoryId"":6,""vegetarian"":false,""description"":""A 10in flour tortilla, shredded cheese, and ground beef all pressed in the flat iron to perfection and served with guac made from scratch, sour cream, and pico de gallo on the side""},{""id"":34,""name"":""fajita quesadilla"",""price"":""12.95"",""active"":true,""categoryId"":6,""vegetarian"":false,""description"":""A 10in flour tortilla, shredded cheese, marinated fajitas (steak or chicken), and sauteed bell peppers and onions all pressed in the flat iron to perfection and served with guac made from scratch, sour cream, and pico de gallo on the side""}]"
7,Tostadas,"[{""id"":35,""name"":""bean tostada"",""price"":""5.50"",""active"":true,""categoryId"":7,""vegetarian"":true,""description"":""A flat crispy shell topped with homemade beans, lettuce, shredded cheese, and tomatoes""},{""id"":36,""name"":""guac tostada"",""price"":""7.99"",""active"":true,""categoryId"":7,""vegetarian"":true,""description"":""A flat crispy shell topped with guac made from scratch, lettuce, shredded cheese, and tomatoes""},{""id"":37,""name"":""super tostada"",""price"":""8.25"",""active"":true,""categoryId"":7,""vegetarian"":false,""description"":""A flat crispy shell topped with homemade beans, ground beef, lettuce, shredded cheese, tomatoes, and sour cream""}]"
8,Sides,"[{""id"":38,""alt"":null,""img"":null,""name"":""pico de gallo"",""price"":""2.00"",""active"":true,""category"":""Sides"",""categoryId"":8,""vegetarian"":false,""description"":""4 oz of our homemade pico de gallo""},{""id"":39,""name"":""scoop of guac"",""price"":""2.75"",""active"":true,""categoryId"":8,""vegetarian"":false,""description"":""4 oz of our homemade guac""},{""id"":40,""name"":""salsa"",""price"":""2.50"",""active"":true,""categoryId"":8,""vegetarian"":false,""description"":""8 oz of our homemade salsa""},{""id"":41,""alt"":null,""img"":null,""name"":""rice"",""price"":""2.25"",""active"":true,""category"":""Sides"",""categoryId"":8,""vegetarian"":false,""description"":""8 oz of our homemade rice""},{""id"":42,""alt"":null,""img"":null,""name"":""frijoles"",""price"":""2.25"",""active"":true,""category"":""Sides"",""categoryId"":8,""vegetarian"":false,""description"":""8 oz of our homemade beans""},{""id"":43,""name"":""bag of chips"",""price"":""2.75"",""active"":true,""categoryId"":8,""vegetarian"":false,""description"":""One serving of our fresh chips""}]"
9,Extras,"[{""id"":44,""alt"":null,""img"":null,""name"":""single chicken taquito"",""price"":""1.25"",""active"":true,""category"":""Extras"",""categoryId"":9,""vegetarian"":false,""description"":""A fried 6in corn tortilla filled our special shredded chicken""},{""id"":45,""alt"":null,""img"":null,""name"":""single tamale"",""price"":""1.75"",""active"":true,""category"":""Extras"",""categoryId"":9,""vegetarian"":false,""description"":""A pork or beef tamale""},{""id"":46,""alt"":null,""img"":null,""name"":""single enchilada"",""price"":""3.50"",""active"":true,""category"":""Extras"",""categoryId"":9,""vegetarian"":false,""description"":""A 6in corn tortilla filled with shredded cheese, ground beef, or our special shredded chicken topped with your choice of queso, chili con carne, or sour cream sauce, a sprinkle of shredded cheese and chips on the side""},{""id"":47,""name"":""taco burger"",""price"":""4.95"",""active"":true,""categoryId"":9,""vegetarian"":false,""description"":""A sesame seed bun, lettuce, ground beef, shredded cheese, and our special sauce""},{""id"":48,""name"":""chicken tortilla soup"",""price"":""5.90"",""active"":true,""categoryId"":9,""vegetarian"":false,""description"":""12 oz of our chicken tortilla soup topped with fried tortilla strips, shredded cheese, and a sliced avocado""},{""id"":49,""alt"":null,""img"":null,""name"":""frito Pie"",""price"":""5.00"",""active"":true,""category"":""Extras"",""categoryId"":9,""vegetarian"":false,""description"":""12 oz of our frito pie topped with shredded cheese""}]"
10,Chips-n-Stuff,"[{""id"":50,""name"":""chips and salsa"",""price"":""5.00"",""active"":true,""categoryId"":10,""vegetarian"":false,""description"":""Our fresh chips and 8oz of our homemade salsa""},{""id"":51,""name"":""chips and queso"",""price"":""7.50"",""active"":true,""categoryId"":10,""vegetarian"":false,""description"":""Our fresh chips and 8oz of our queso""},{""id"":52,""name"":""chips and guac"",""price"":""7.99"",""active"":true,""categoryId"":10,""vegetarian"":false,""description"":""Our fresh chips and 2 scoops of guac made from scratch""},{""id"":53,""alt"":null,""img"":null,""name"":""chips and dip"",""price"":""6.99"",""active"":true,""category"":""Chips-n-Stuff"",""categoryId"":10,""vegetarian"":false,""description"":""Our fresh chips, a side of queso, a side of homemade beans, and a scoop of our guac made from scratch""}]"
